Country,tuition,student_teacher_ratio,school_size,income,popolation,intl_student_percent,research,citation,male_female_ratio,GDP,num_NP,TimesScore,,,,,,
Singapore,6373,16.9,27978.5,67.65,5850.34,0.28,80.4,80.9,1.02,372062527488.64,0,77.4,,,,,,
Hong Kong,5430,17.46666667,14243.16667,54.98333333,7497,0.37,53.93333333,76.4,0.74,365700000000.00,1,62.41666667,,,,,,
Netherlands,2420,18.51538462,19599.15385,72.95384615,17134.87,0.22,55.58461538,80.23076923,0.94,907050863145.10,21,61.49230769,,,,,,
Switzerland,1168,14.67272727,11755.90909,60.94545455,8654.62,0.33,43.57272727,76.82727273,1.03,703082435158.86,27,57.39090909,,,,,,
Belgium,2668,33.075,23646.5,72.675,11589.62,0.19,48.1875,71.075,0.88,533097455834.51,11,54.3125,,,,,,
Luxembourg,681,18.7,4654,45.2,625.98,0.49,36.5,75.8,0.96,71104919108.14,2,53.7,,,,,,
Denmark,0,14.27142857,18235.14286,55.12857143,5792.2,0.17,38.65714286,77.5,0.96,350104327658.68,13,51.62857143,,,,,,
Germany,0,44.00208333,24539.14583,64.35833333,83783.95,0.16,40.96666667,68.875,1.05,3861123558039.21,109,51.31875,,,,,,
Sweden,0,12.93333333,15596,56.53333333,10099.27,0.14,39.225,77.70833333,0.82,530883869004.98,32,51.11666667,,,,,,
United States,8202,14.8744186,22829.1686,44.92732558,331003,0.13,36.82383721,73.15581395,0.96,21433226000000.00,388,50.10813953,,,,,,
Australia,4763,29.33142857,23652.05714,50.12285714,25499.88,0.28,35.64857143,75,0.78,1396567014733.23,14,49.71714286,,,,,,
Macao,3357,19.4,9632,37.9,649,0.58,27.5,72.45,0.77,53860000000.00,0,47.3,,,,,,
Norway,0,12.16,18447.2,38.44,5421.24,0.14,26,78.92,0.74,403336363636.36,13,46.42,,,,,,
Canada,4939,22.82666667,27681.66667,48.04333333,37742.16,0.19,34.74,62.88,0.8,1736425629519.96,27,46.05333333,,,,,,
Finland,0,20.27777778,11473.66667,42.95555556,5540.72,0.11,35.17777778,66.41111111,0.9,269296310180.39,5,44.95555556,,,,,,
Iceland,579,19.4,5507,49.6,341.25,0.1,24.1,87.5,0.85,24188038473.54,1,44.6,,,,,,
United Kingdom,13050,16.266,16552.54,37.956,67886,0.28,29.147,64.927,0.79,2829108219165.80,133,43.945,,,,,,
Ireland,111530,22.74444444,13718.44444,41.54444444,4937.8,0.24,28.01111111,67.81111111,0.85,388698711348.16,11,43.73333333,,,,,,
Austria,914,14.1,10101.45455,51.39090909,9006.4,0.25,23.62727273,65.3,1.04,445075391688.16,22,43.47272727,,,,,,
New Zealand,4295,17.9875,16325.5,46.025,4822.23,0.29,27.3125,65.8625,0.78,206928765543.94,3,43.375,,,,,,
Cyprus,4217,19.7,4931.5,41.5,1207.36,0.1,20.45,80.15,0.67,24948935408.04,1,43.1,,,,,,
Israel,3095,23.6,15508.16667,39.5,8655.54,0.08,34.4,58.31666667,0.85,394652210295.85,12,42.55,,,,,,
Brunei Darussalam,6229,10.9,3830,34.8,437.48,0.15,19.3,74.4,0.49,13469422958.51,0,42.3,,,,,,
Qatar,549,17.3,15585,49.3,2881.06,0.38,27.2,64.7,0.32,175837550996.19,0,42.2,,,,,,
Italy,1658,25.80222222,24062.57778,42.72888889,60461.83,0.07,23.15777778,70.74,0.83,2003576145498.04,0,40.76888889,,,,,,
France,3338,19,29544.26316,46.15789474,65273.51,0.21,25.33947368,56.11315789,1.08,2715518274227.45,70,40.41578947,,,,,,
South Africa,1449,39.44,47144.6,51.02,59308.69,0.08,26.84,57.72,0.74,351431649241.44,11,38.15,,,,,,
Saudi Arabia,25061,8.428571429,22372.57143,54.6,34813.87,0.13,14.6,61.24285714,0.97,792966838161.66,0,37.72857143,,,,,,
United Arab Emirates,14634,13.375,7778,54.775,9890.4,0.48,19.65,50.125,0.6,421142267937.65,0,36.175,,,,,,
Jamaica,13075,22.2,23305,38.9,2961.16,0.01,11.1,73.4,0.41,16458071067.82,0,36,,,,,,
Uganda,505,23.6,34651,40.9,45741,0.08,12.7,69.6,1.22,35165157016.91,0,35.1,,,,,,
Costa Rica,100,15.1,33900,34.4,5094.11,0.02,7.9,77.1,0.89,61801385049.07,1,34.8,,,,,,
South Korea,4578,16.87419355,15803.80645,60.51290323,51269,0.1,31.16129032,38.67096774,1.25,1647000000000.00,1,34.61290323,,,,,,
China,6250,14.33580247,31835.71605,60.43333333,1439323.77,0.06,24.62222222,44.05432099,1.21,14342903006431.30,8,33.04938272,,,,,,
Estonia,0,20.2,8702.666667,41,1326.54,0.11,20.13333333,46.56666667,0.63,31471100656.24,0,31.63333333,,,,,,
Portugal,1473,17.50769231,16560.61538,39.99230769,10196.71,0.12,20.38461538,46.84615385,0.87,238785085030.99,2,31.44615385,,,,,,
Lebanon,10000,13.76666667,7944.333333,35.76666667,6825.44,0.15,11.8,42.06666667,0.83,51991634491.63,0,31.43333333,,,,,,
Philippines,1000,13.1,27740.5,36.9,109581.09,0.02,15.05,56.65,0.85,376795508678.85,0,31.2,,,,,,
Spain,1830,16.82222222,24201.17778,38.95333333,46754.78,0.1,17.18222222,47.56666667,0.84,1393490524517.64,8,30.79777778,,,,,,
Nigeria,312,16.4,25924.75,38.725,206139.59,0.01,11.1,58.325,1.13,448120428858.77,1,30.625,,,,,,
Greece,5250,34.55,24927.4,43.7,10423.06,0.05,16.18,53.75,0.93,209852761132.84,2,30.61,,,,,,
Peru,5520,9.05,15610,35.3,32971.85,0.02,9.95,58.45,0.77,226848050819.53,1,30.45,,,,,,
Malta,1301,13,11772,34.7,441.54,0.09,13.7,48.1,0.72,14989415684.12,1,28.8,,,,,,
Sri Lanka,4000,20.2,19902,35.1,21413.25,0.01,7.8,56.95,0.64,84008783756.07,0,27.9,,,,,,
Malaysia,537,13.70769231,17742.23077,45.75384615,32366,0.12,19.16923077,31.55384615,0.78,364681367531.68,0,27.8,,,,,,
Kenya,3200,39.3,69456,34.8,53771.3,0.01,10.2,48.3,1.78,95503088538.09,1,26.3,,,,,,
Slovenia,0,14.15,26117,39.85,2078.93,0.06,17.25,37.9,0.74,54174227308.89,0,26.25,,,,,,
India,5000,15.15714286,11359.14286,44.71607143,1380004.39,0.02,15.72321429,34.0375,1.98,2868929415617.02,12,26.175,,,,,,
Hungary,766,15.125,17808.625,37.1,9660.35,0.16,13.6375,36.8,0.83,163469042867.96,13,25.95,,,,,,
Iran,8200,21.905,12201.4,46.6425,83993,0.01,16.58,36.77,0.89,454000000000.00,1,25.905,,,,,,
Puerto Rico,3500,13.9,49713,34.9,2860.84,0.01,8.5,43.7,0.72,104988600000.00,0,25.2,,,,,,
Egypt,4750,26.76,106685.15,35.775,102334.4,0.02,9.625,43.075,0.95,303100000000.00,4,24.99,,,,,,
Taiwan,1800,19.16388889,12106.08333,57.88611111,23817,0.09,24.525,23.53055556,1.17,630000000000.00,4,24.96111111,,,,,,
Jordan,8470,21.96,27386.4,38,10203.14,0.11,9.54,39.46,0.65,44502895861.68,0,24.92,,,,,,
Croatia,963,20.7,44129.5,38.75,4105.27,0.03,12.6,41.05,0.69,60752588976.32,2,24.85,,,,,,
Kuwait,1100,23.6,36551,37.4,4270.56,0.15,9.9,31.7,0.33,134628542746.97,0,24.4,,,,,,
Chile,7654,20.33333333,19150.66667,40.62777778,19116.21,0.02,12.72222222,35.11666667,1.03,282318159744.65,2,23.81111111,,,,,,
Russian Federation,1600,10.8,14666.79487,53.57948718,145934.46,0.13,17.44871795,21.65641026,1.14,1699876578871.35,31,23.8025641,,,,,,
Japan,5229,11.53636364,10752.43636,42.75909091,126476.46,0.04,15.99909091,27.09090909,1.73,5081769542379.77,28,23.47545455,,,,,,
Ghana,7700,28.7,36819,48,31072.95,0.01,15.5,28.1,1.22,66983634223.94,0,22.7,,,,,,
Oman,5000,7.4,6823,47.4,5106.62,0.04,10.6,19.1,1,76331518668.58,1,22.7,,,,,,
Colombia,970,18.1875,24947.375,36.175,50882.88,0.01,11.95,32.0875,1,323615979418.65,2,22.45,,,,,,
Czech Republic,11000,15.92941176,14723.64706,38.27647059,10709,0.14,15.85294118,22.01176471,0.81,250680504529.65,6,21.68235294,,,,,,
Pakistan,3500,24.23571429,17718.78571,35.65714286,220892.33,0.01,10.90714286,30.7,1.36,278221906022.84,2,21.45,,,,,,
Turkey,0,40.08529412,56781.64706,48.5,84339.07,0.04,14.42941176,26.50294118,1.12,761425499358.16,2,21.25882353,,,,,,
Iraq,630,8.35,38424.5,34.9,40222.5,0,7.4,31.9,0.68,234094042938.92,1,21.25,,,,,,
Morocco,12500,46,96193.75,36.95,36910.56,0.03,8.4,29.35,0.93,119700325461.94,1,21.175,,,,,,
Poland,0,15.04285714,27747.14286,36.4,37846.61,0.04,12.35714286,28.07857143,0.79,595858207011.51,18,20.72857143,,,,,,
Lithuania,3000,13.2,11907.66667,42.06666667,2722.29,0.08,12.7,24.8,0.99,54627411860.47,3,20.7,,,,,,
Kazakhstan,5000,5.45,19171.5,38.6,18776.71,0.08,8.55,18.65,0.82,181665908556.50,0,20.2,,,,,,
Brazil,6000,15.49347826,27438.06522,39.08478261,212559.41,0.01,13.25434783,21.27391304,0.97,1839758040765.62,1,19.98695652,,,,,,
Indonesia,2650,11.81666667,31125,67.08333333,273523.62,0.04,12.85,14.88333333,0.99,1119190780752.80,0,19.68333333,,,,,,
Thailand,1500,19.75,30330.9375,50.24375,69799.98,0.02,12.7125,20.9125,0.68,543548969968.69,0,19.68125,,,,,,
Latvia,3472,33.26666667,9129.333333,44.66666667,1886.2,0.06,18.13333333,16.56666667,0.94,34102913582.42,1,19.6,,,,,,
Nepal,40000,36,418053,34.4,29136.81,0,6.9,30.8,1.22,30641380603.97,0,19,,,,,,
Belarus,2800,8.4,27101,42.4,9449.32,0.09,9.7,13.3,0.82,63080457022.66,2,18.7,,,,,,
Tunisia,2500,11.33333333,26976.33333,34.46666667,11818.62,0.01,8.833333333,17.6,0.5,38796687568.16,1,18.68333333,,,,,,
Algeria,423,21.6125,35610.25,34.7,43851.04,0.01,7.5375,22.5125,0.67,171091289782.25,2,18.1625,,,,,,
Argentina,5000,12.95,35442.25,35.075,45195.78,0.03,8.125,21.625,0.59,445445177459.43,5,17.75,,,,,,
Bulgaria,9600,9.3,21988,35.3,6948.45,0.06,9.6,14.2,0.54,68558815111.62,1,17.5,,,,,,
Romania,24000,17.32222222,21917.66667,35.06666667,19237.68,0.06,10.08888889,20.88888889,0.78,250077444017.08,4,17.3,,,,,,
Slovakia,0,12.175,12125.25,37.975,5459.64,0.07,11.6,13,1.14,105100000000.00,0,17.275,,,,,,
Cuba,30000,9.8,14856,40.2,11326.62,0.07,9,9.5,0.41,100000000000.00,0,17,,,,,,
Ukraine,3000,9.3,16803.66667,35.23333333,43733.76,0.09,8.916666667,14.96666667,1.02,153781069118.15,6,16.81666667,,,,,,
Mexico,527,24.73529412,70811.70588,40.08235294,128932.75,0.02,10.72941176,17.1,0.95,1268870527160.03,3,16.53529412,,,,,,
Bangladesh,700,15.6,34108,36.6,164689.38,0,8.8,16.4,1.38,302571254131.14,0,16.3,,,,,,
Montenegro,3000,27.3,19171,34.8,628.06,0.02,9.7,15.2,0.79,5542577964.98,0,15.4,,,,,,
Georgia,2750,23.9,19670,34.8,3989.18,0.02,9.4,4.6,0.61,17477255545.67,0,12.9,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
